id,observed_at_utc,latitude,longitude,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause
72fa7921-00df-45eb-b84b-5b459bab5116,2022-04-24 16:06:42+00:00,33.778894,-84.404933,Gray Catbird,Dumetella carolinensis,grycat,ADULT,UNKNOWN,DEAD,unknown
04c32940-35d3-43bf-af5f-8046eece6d90,2022-04-25 11:18:19+00:00,33.779584,-84.405009,Common Yellowthroat,Geothlypis trichas,comyel,ADULT,MALE,INJURED,collision with building/structure
8c163b20-c837-437b-8e31-1cdf50fbb286,,33.779711,-84.396687,Gray Catbird,Dumetella carolinensis,grycat,ADULT,FEMALE,DEAD,collision with building/structure
f1a08dde-a10f-46f4-8df9-0e29c7f0825a,,33.779664,-84.396529,Northern Waterthrush,Parkesia noveboracensis,norwat,ADULT,UNKNOWN,DEAD,collision with building/structure
f395bd2a-7545-4164-9988-7cb62fd6bcb7,,33.779721,-84.396593,Ruby-throated Hummingbird,Archilochus colubris,rthhum,ADULT,UNKNOWN,DEAD,collision with building/structure
23f33f7b-944e-40c8-b6b5-7b119b3a5e3f,,33.779793,-84.396626,Ovenbird,Seiurus aurocapilla,ovenbi1,ADULT,UNKNOWN,DEAD,collision with building/structure
cc8a3838-890e-4c60-8459-cd8130c03738,2022-04-28 18:31:30+00:00,33.779946,-84.396733,Blackpoll Warbler,Setophaga striata,bkpwar,ADULT,MALE,DEAD,unknown
982d29ce-6e2a-4e91-adbe-99fe4d6f709f,2022-04-28 18:50:41+00:00,33.779602,-84.396597,Northern Waterthrush,Parkesia noveboracensis,norwat,ADULT,UNKNOWN,DEAD,collision with building/structure
3f0ea471-735b-44f6-b4cf-bfc7607bf311,,33.780126,-84.396254,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
86e88e5e-855a-4428-bea7-d141a22b9a7a,2022-04-30 23:02:54+00:00,33.779228,-84.397777,Rock Pigeon,Columba livia,rocpig,UNKNOWN,UNKNOWN,DEAD,unknown
5fbad96c-0171-48ee-b82f-db5a22734895,,33.780209,-84.396462,Indigo Bunting,Passerina cyanea,indbun,ADULT,MALE,DEAD,collision with building/structure
4c9bb408-9412-459f-b0ec-a3884ec67792,,33.780152,-84.396721,Cape May Warbler,Setophaga tigrina,camwar,ADULT,MALE,DEAD,collision with building/structure
e9ba77f7-1b05-4a67-b2f7-8790336fb9c1,2022-05-01 17:11:13+00:00,33.776834,-84.398185,Yellow-billed Cuckoo,Coccyzus americanus,yebcuc,ADULT,UNKNOWN,INJURED,collision with building/structure
a2b60d94-2869-4cef-b88d-64b08815a42f,,33.780093,-84.396646,Red-eyed Vireo,Vireo olivaceus,reevir1,ADULT,UNKNOWN,DEAD,collision with building/structure
1671ddaa-e626-45ba-9d9f-6520374f6c27,2022-05-03 03:49:14+00:00,33.776033,-84.398841,Red-eyed Vireo,Vireo olivaceus,reevir1,UNKNOWN,UNKNOWN,DEAD,unknown
48aa12a1-b861-4c4f-a4f9-6506fb34cdc1,,33.775055,-84.403099,Indigo Bunting,Passerina cyanea,indbun,JUVENILE,UNKNOWN,DEAD,collision with building/structure
a8b80407-5af0-4e8f-9cbf-5570a4cf3c2b,2022-05-03 18:30:21+00:00,33.780634,-84.398011,Cape May Warbler,Setophaga tigrina,camwar,ADULT,MALE,DEAD,unknown
15b1985e-fe24-4233-8870-7b4732861655,2022-05-05 05:02:42+00:00,33.775829,-84.39351,Rose-breasted Grosbeak,Pheucticus ludovicianus,robgro,UNKNOWN,MALE,DEAD,unknown
8a67349a-e1cd-45b2-a12e-3d742b8ec0c0,2022-05-20 19:04:17+00:00,33.77408,-84.394884,passerine sp.,Passeriformes sp.,passer1,JUVENILE,UNKNOWN,DEAD,unknown
9f42beb0-ff4d-486e-aa2f-e8dca1679457,2022-05-29 18:10:40+00:00,33.780305,-84.396962,Carolina Chickadee,Poecile carolinensis,carchi,UNKNOWN,UNKNOWN,DEAD,unknown
6a09b107-aba4-4ec2-9209-b9372e358b4e,2022-06-01 21:09:25+00:00,33.780091,-84.397064,American Robin,Turdus migratorius,amerob,JUVENILE,UNKNOWN,DEAD,unknown
b9ef1bd3-7f59-4fe4-9970-a77acdd444ba,2022-06-14 19:26:50+00:00,33.780655,-84.403499,Blue Jay,Cyanocitta cristata,blujay,JUVENILE,UNKNOWN,DEAD,unknown
bd53e564-be00-4d8e-a3f4-852afbd6d2a7,2022-07-02 02:25:15+00:00,33.779973,-84.396797,American Robin,Turdus migratorius,amerob,JUVENILE,UNKNOWN,DEAD,unknown
08f91c15-9fa1-4745-8bb9-a89c79cdbd23,,33.775674,-84.401892,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
45026ba3-e9ec-4424-9b06-18e150c09731,2022-07-08 12:45:14+00:00,33.775981,-84.402008,Mourning Dove,Zenaida macroura,moudov,JUVENILE,UNKNOWN,DEAD,collision with building/structure
bcc5c030-dd99-4e9d-9b51-d5e4215879e0,,33.780629,-84.397634,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
134112f6-6deb-459a-8f61-48a26327a66d,2022-07-18 16:41:25+00:00,33.774246,-84.395602,House Finch,Haemorhous mexicanus,houfin,UNKNOWN,UNKNOWN,DEAD,unknown
4e1946e6-ab99-45ab-9212-24dd4918903c,,33.780549,-84.398248,Northern Mockingbird,Mimus polyglottos,normoc,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
7ee2f71f-1bae-4483-b9a8-47b25e31b842,2022-08-18 13:30:03+00:00,33.780053,-84.396292,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure
b770a71b-518b-43dc-b34f-057d4a60805d,2022-08-20 17:35:40+00:00,33.779869,-84.396751,Yellow-breasted Chat,Icteria virens,yebcha,UNKNOWN,UNKNOWN,DEAD,unknown
dd9c712d-93e5-412f-a066-41f65a4ad7c0,2022-08-22 20:55:11+00:00,33.780023,-84.3962,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure
f268d4dc-2406-4f1c-96d6-ef721cdaa066,,33.776098,-84.396506,unknown,unknown,,ADULT,UNKNOWN,DEAD,unknown
8c627a25-ed07-4e79-840a-defd0620fba0,2022-08-26 17:30:33+00:00,33.779731,-84.396689,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
c4213dfd-491a-424e-b4cf-872e3be15d84,2022-08-29 21:54:11+00:00,33.780067,-84.396694,Black-and-white Warbler,Mniotilta varia,bawwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
e47f1610-0d63-4d47-8e3c-981e1c24c4a3,,33.778722,-84.39679,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
61efb550-d6f0-4f61-8d51-8c521b187f1b,2022-09-06 20:27:00+00:00,33.779658,-84.396677,American Robin,Turdus migratorius,amerob,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
cc7b6c4f-d45b-4a63-b004-bcae634ecfa5,,33.779531,-84.397069,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure
327fc586-6716-419b-a2c2-77abedfb603f,,33.779653,-84.396715,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure
56fc8783-4b44-44f4-b8e1-909dd88cfd89,2022-09-07 14:47:06+00:00,33.774315,-84.395374,Northern Waterthrush,Parkesia noveboracensis,norwat,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
17f560df-8104-4e3f-aecb-7735329d3374,,33.779323,-84.404644,Common Yellowthroat,Geothlypis trichas,comyel,JUVENILE,UNKNOWN,DEAD,collision with building/structure
8d857568-6756-46f2-9cfc-fde0e2a0e87e,,33.77944,-84.396571,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
3faa64ae-1946-4045-8a84-f75d395c9233,2022-09-08 17:50:10+00:00,33.776331,-84.387852,Northern Cardinal,Cardinalis cardinalis,norcar,JUVENILE,UNKNOWN,DEAD,unknown
850fad3b-41f7-401d-b93e-36c11321d19b,,33.780086,-84.396572,Hooded Warbler,Setophaga citrina,hoowar,ADULT,MALE,DEAD,collision with building/structure
6d503c9e-4d9a-4929-a48a-b3f130414032,,33.774173,-84.393395,Brown Thrasher,Toxostoma rufum,brnthr,ADULT,UNKNOWN,INJURED,unknown
c5b945b2-5d44-4699-8330-b440b2b61646,2022-09-12 17:51:50+00:00,33.774346,-84.395261,Setophaga sp.,Setophaga sp.,dendro3,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
fcb93c2d-f43a-40df-9d71-bf1143cf9c04,2022-09-12 18:13:42+00:00,33.77651,-84.40486,Sora,Porzana carolina,sora,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
24419c15-9121-47b2-8ccf-5243b12c6753,,33.775533,-84.40396,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
f6ca9718-4afc-4872-8a88-1f6b2f29bbbd,2022-09-12 18:43:15+00:00,33.775533,-84.40396,Sora,Porzana carolina,sora,UNKNOWN,UNKNOWN,DEAD,unknown
1e3c62e8-0365-4ac4-839f-a4fa5f1bc882,2022-09-12 18:50:18+00:00,33.779987,-84.396796,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
f0b540d3-7b5f-4878-b329-07ae2d0edea0,2022-09-13 15:22:37+00:00,33.774533,-84.395193,Setophaga sp.,Setophaga sp.,dendro3,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
c4f69746-5dde-4c69-aebb-7f19069263ff,,33.773626,-84.395127,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
064cd246-a082-4152-8fb1-b71a3593c5b9,2022-09-15 18:00:50+00:00,33.774471,-84.396088,Common Yellowthroat,Geothlypis trichas,comyel,JUVENILE,UNKNOWN,DEAD,collision with building/structure
f2e32c3c-5b18-45ff-92b1-1d7bba0c6380,2022-09-15 18:13:12+00:00,33.779933,-84.395955,Chestnut-sided Warbler,Setophaga pensylvanica,chswar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
23a1a926-0c4b-4883-9f50-2c760cf8de58,,33.77419,-84.395701,Ovenbird,Seiurus aurocapilla,ovenbi1,ADULT,UNKNOWN,DEAD,collision with building/structure
1f1ddd7f-8003-4e72-bd63-439c90c7417d,,33.77415,-84.395835,Ovenbird,Seiurus aurocapilla,ovenbi1,ADULT,UNKNOWN,DEAD,collision with building/structure
7ec5fd0f-fd95-408a-8c2e-47cada7d0884,,33.779036,-84.406232,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,UNKNOWN,DEAD,unknown
e69dd9da-bf25-48c3-af74-f27132c9ff25,,33.780095,-84.403259,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
034e5e87-9f7f-44ae-9e8f-e0615849777a,2022-09-16 12:40:36+00:00,33.779751,-84.402692,Common Yellowthroat,Geothlypis trichas,comyel,UNKNOWN,UNKNOWN,DEAD,unknown
f674fdf6-9789-4bc1-9e74-9a9c83ab84f0,2022-09-16 14:48:09+00:00,33.776748,-84.389428,Northern Waterthrush,Parkesia noveboracensis,norwat,UNKNOWN,UNKNOWN,INJURED,collision with building/structure
937bc45a-0c0f-4fda-a62b-1dfff88d27ce,2022-09-17 17:01:06+00:00,33.780019,-84.396194,Chestnut-sided Warbler,Setophaga pensylvanica,chswar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
0837818c-7f18-44fc-8248-f3ac72339fd5,2022-09-17 20:50:56+00:00,33.777122,-84.395904,thrush sp.,Turdidae sp.,thrush1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
37ace548-cebd-4108-800d-167b3bb76701,2022-09-19 12:26:12+00:00,33.778462,-84.397152,Mourning Dove,Zenaida macroura,moudov,JUVENILE,UNKNOWN,DEAD,collision with building/structure
