id,observed_at_utc,created_at_utc,updated_at_utc,latitude,longitude,location_accuracy_meters,mobile_device_gps_source,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause,notes,image
eb0b2c4c-4973-498b-8734-932b4603c2c9,2022-04-22 15:20:17.051000+00:00,2022-04-25 15:22:18.692598+00:00,2022-04-25 15:22:18.692624+00:00,33.780115,-84.396951,,FALSE,Summer Tanager,Piranga rubra,sumtan,JUVENILE,MALE,DEAD,unknown,"The area was very wet around the bird, like someone had tried to give it water.",https://backend-static.dbird.org/uploads/a22120c1-3fa4-4092-a112-d331df0bf248.jpeg
19f1de66-1edb-4b80-9621-f4ec86003995,2022-04-22 16:58:18+00:00,2022-04-22 17:01:13.897190+00:00,2022-05-25 13:48:58.394091+00:00,33.780126,-84.396935,,FALSE,Summer Tanager,Piranga rubra,sumtan,JUVENILE,MALE,DEAD,collision with building/structure,"orange, with olive yellow wing feathers",https://backend-static.dbird.org/uploads/aecc81d9-2a06-4890-bd10-40a0993d3955.jpeg
a151c849-5e26-4c9f-9fdf-6cf4fe3b9276,2022-04-22 23:31:25+00:00,2022-04-22 23:33:09.722086+00:00,2024-11-14 18:31:34.692214+00:00,33.771781,-84.39476,,FALSE,Eastern Towhee,Pipilo erythrophthalmus,eastow,ADULT,MALE,DEAD,unknown,,https://backend-static.dbird.org/uploads/017071c1-4554-4780-ae28-0f5ce6623f8e.jpg
81b20c63-557e-42b5-bad0-fe9eafdb83dc,2022-04-23 02:45:00.273000+00:00,2022-04-23 22:08:32.811005+00:00,2022-04-23 22:08:32.811124+00:00,33.778042,-84.393652,,FALSE,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,unknown,"Bird was flattened on the sidewalk by a side gate to the baseball stadium, did not look fresh. I believe it was a robin from the size, white ring around its eye, the grayish-black plumage, and the long yellow beak, though I did not see its orange breast. Perhaps this is because of how flattened it was, or because the lighting was poor. Was not able to get a picture because I did not have my phone.",
72fa7921-00df-45eb-b84b-5b459bab5116,2022-04-24 16:06:42+00:00,2022-04-24 16:08:31.446568+00:00,2022-05-24 20:47:58.333564+00:00,33.778894,-84.404933,,FALSE,Gray Catbird,Dumetella carolinensis,grycat,ADULT,UNKNOWN,DEAD,unknown,,https://backend-static.dbird.org/uploads/93676994-1db2-44eb-af94-6f09ee37b8fe.jpg
04c32940-35d3-43bf-af5f-8046eece6d90,2022-04-25 11:18:19+00:00,2022-04-25 16:05:49.208395+00:00,2024-11-14 18:30:31.750276+00:00,33.779584,-84.405009,,FALSE,Common Yellowthroat,Geothlypis trichas,comyel,ADULT,MALE,INJURED,collision with building/structure,Most likely stunned from a window collision.,https://backend-static.dbird.org/uploads/49a55484-54bb-4580-a753-f78a736665f4.jpg
8c163b20-c837-437b-8e31-1cdf50fbb286,2022-04-25 18:30:20.335000+00:00,2022-04-25 20:20:49.058125+00:00,2022-04-25 20:20:49.058148+00:00,33.779711,-84.396687,,FALSE,Gray Catbird,Dumetella carolinensis,grycat,ADULT,FEMALE,DEAD,collision with building/structure,,
f1a08dde-a10f-46f4-8df9-0e29c7f0825a,2022-04-25 18:30:39.711000+00:00,2022-04-25 18:49:58.697808+00:00,2022-04-25 18:49:58.697833+00:00,33.779664,-84.396529,,FALSE,Northern Waterthrush,Parkesia noveboracensis,norwat,ADULT,UNKNOWN,DEAD,collision with building/structure,,https://backend-static.dbird.org/uploads/2064291f-1795-486a-893f-2e00553554c7.jpg
f395bd2a-7545-4164-9988-7cb62fd6bcb7,2022-04-25 18:30:58.551000+00:00,2022-04-25 18:51:41.829886+00:00,2022-04-25 18:51:41.829909+00:00,33.779721,-84.396593,,FALSE,Ruby-throated Hummingbird,Archilochus colubris,rthhum,ADULT,UNKNOWN,DEAD,collision with building/structure,,https://backend-static.dbird.org/uploads/69adb8a8-9607-4a2c-a054-c81090727732.jpg
23f33f7b-944e-40c8-b6b5-7b119b3a5e3f,2022-04-25 18:30:59.142000+00:00,2022-04-25 18:50:58.294109+00:00,2022-04-25 18:50:58.294141+00:00,33.779793,-84.396626,,FALSE,Ovenbird,Seiurus aurocapilla,ovenbi1,ADULT,UNKNOWN,DEAD,collision with building/structure,,https://backend-static.dbird.org/uploads/9c272c51-5047-4f34-9798-64e3368b38d9.jpg
cc8a3838-890e-4c60-8459-cd8130c03738,2022-04-28 18:31:30+00:00,2022-05-03 03:55:15.812548+00:00,2024-11-14 18:29:29.623584+00:00,33.779946,-84.396733,35,TRUE,Blackpoll Warbler,Setophaga striata,bkpwar,ADULT,MALE,DEAD,unknown,,https://backend-static.dbird.org/uploads/a5fa2064-4bca-4419-9f9b-9ec99ea95ad6.jpeg
982d29ce-6e2a-4e91-adbe-99fe4d6f709f,2022-04-28 18:50:41+00:00,2022-04-28 18:52:37.375695+00:00,2024-11-14 18:27:57.993231+00:00,33.779602,-84.396597,,FALSE,Northern Waterthrush,Parkesia noveboracensis,norwat,ADULT,UNKNOWN,DEAD,collision with building/structure,,https://backend-static.dbird.org/uploads/ab794125-be8d-40e4-a23c-28765e6481b7.jpg
3f0ea471-735b-44f6-b4cf-bfc7607bf311,2022-04-29 15:00:37.453000+00:00,2022-04-29 15:07:06.108843+00:00,2022-04-29 15:07:06.108869+00:00,33.780126,-84.396254,,FALSE,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,Bird flew into building and fell onto walkway below,https://backend-static.dbird.org/uploads/3fa626d5-0bc5-4f0d-a7bd-2711c711ecf1.jpg
86e88e5e-855a-4428-bea7-d141a22b9a7a,2022-04-30 23:02:54+00:00,2022-05-02 17:19:40.160322+00:00,2022-05-24 19:06:14.682269+00:00,33.779228,-84.397777,,FALSE,Rock Pigeon,Columba livia,rocpig,UNKNOWN,UNKNOWN,DEAD,unknown,,https://backend-static.dbird.org/uploads/93c854f1-cf48-4e3a-9ef1-dca1d53b3e49.jpeg
5fbad96c-0171-48ee-b82f-db5a22734895,2022-04-30 23:15:40.254000+00:00,2022-05-02 17:21:54.975963+00:00,2022-05-02 17:21:54.975989+00:00,33.780209,-84.396462,,FALSE,Indigo Bunting,Passerina cyanea,indbun,ADULT,MALE,DEAD,collision with building/structure,Hit a window at the back of MoSE - there's a forest that reflects onto the building and confuses birds a lot,https://backend-static.dbird.org/uploads/c793a5e6-fd9f-4ed0-82de-95f080a65935.png
4c9bb408-9412-459f-b0ec-a3884ec67792,2022-05-01 16:32:02.872000+00:00,2022-05-01 16:34:15.015609+00:00,2022-05-01 16:34:15.015634+00:00,33.780152,-84.396721,,FALSE,Cape May Warbler,Setophaga tigrina,camwar,ADULT,MALE,DEAD,collision with building/structure,Behind MoSE,https://backend-static.dbird.org/uploads/dac2d700-0d03-4e2c-af48-31dc7c0dbc76.jpeg
e9ba77f7-1b05-4a67-b2f7-8790336fb9c1,2022-05-01 17:11:13+00:00,2022-05-01 17:21:36.097602+00:00,2024-11-14 18:26:23.563970+00:00,33.776834,-84.398185,14.26,TRUE,Yellow-billed Cuckoo,Coccyzus americanus,yebcuc,ADULT,UNKNOWN,INJURED,collision with building/structure,"Found sat on the ground next to a building with an open bill. Appears to have hit a window. Kept opening and closing bill, and had its third eyelid closed for some time. It perked up and eventually flew when startled by someone walking by.",https://backend-static.dbird.org/uploads/3fd84107-6ea7-48d3-a26e-c699b0e7d33d.jpeg
a2b60d94-2869-4cef-b88d-64b08815a42f,2022-05-02 15:40:55.306000+00:00,2022-05-02 17:24:53.859013+00:00,2022-05-02 17:24:53.859036+00:00,33.780093,-84.396646,,FALSE,Red-eyed Vireo,Vireo olivaceus,reevir1,ADULT,UNKNOWN,DEAD,collision with building/structure,"Forest reflects at back of MoSE, confuses birds",https://backend-static.dbird.org/uploads/9a1c12de-9288-4aa8-bbc0-a85de5d49f84.png
1671ddaa-e626-45ba-9d9f-6520374f6c27,2022-05-03 03:49:14+00:00,2022-05-03 03:51:30.251484+00:00,2022-05-20 13:43:52.564744+00:00,33.776033,-84.398841,,FALSE,Red-eyed Vireo,Vireo olivaceus,reevir1,UNKNOWN,UNKNOWN,DEAD,unknown,This is the second time I saw dead bird here,https://backend-static.dbird.org/uploads/0cb0d8a3-1328-446b-95cd-4adc5b5cea80.jpeg
48aa12a1-b861-4c4f-a4f9-6506fb34cdc1,2022-05-03 14:21:46.825000+00:00,2022-05-03 14:23:13.898532+00:00,2022-05-03 14:23:13.898556+00:00,33.775055,-84.403099,,FALSE,Indigo Bunting,Passerina cyanea,indbun,JUVENILE,UNKNOWN,DEAD,collision with building/structure,,https://backend-static.dbird.org/uploads/1b797469-04c5-4422-abff-e3989bcaabb2.jpeg
a8b80407-5af0-4e8f-9cbf-5570a4cf3c2b,2022-05-03 18:30:21+00:00,2022-05-03 19:07:20.615457+00:00,2022-05-20 13:42:30.673310+00:00,33.780634,-84.398011,,FALSE,Cape May Warbler,Setophaga tigrina,camwar,ADULT,MALE,DEAD,unknown,Outside Engineered Biosystems Building on Georgia Tech campus,https://backend-static.dbird.org/uploads/cc315fa2-8cf4-4b41-a559-82669aa74b95.jpg
15b1985e-fe24-4233-8870-7b4732861655,2022-05-05 05:02:42+00:00,2022-05-05 05:04:24.606548+00:00,2022-05-20 13:41:19.401686+00:00,33.775829,-84.39351,,FALSE,Rose-breasted Grosbeak,Pheucticus ludovicianus,robgro,UNKNOWN,MALE,DEAD,unknown,,https://backend-static.dbird.org/uploads/c125b953-4e13-42c9-be6f-b21d3b8b6235.jpg
8a67349a-e1cd-45b2-a12e-3d742b8ec0c0,2022-05-20 19:04:17+00:00,2022-05-20 19:06:11.925299+00:00,2024-11-14 18:23:17.523405+00:00,33.77408,-84.394884,35,TRUE,passerine sp.,Passeriformes sp.,passer1,JUVENILE,UNKNOWN,DEAD,unknown,N/A,https://backend-static.dbird.org/uploads/e074e451-04d9-4a58-a5a1-ec8a225a0a36.jpg
9f42beb0-ff4d-486e-aa2f-e8dca1679457,2022-05-29 18:10:40+00:00,2022-05-29 18:12:29.931486+00:00,2022-09-06 22:48:36.694419+00:00,33.780305,-84.396962,646.78,TRUE,Carolina Chickadee,Poecile carolinensis,carchi,UNKNOWN,UNKNOWN,DEAD,unknown,This is the Third time to see dead bird,https://backend-static.dbird.org/uploads/71979b00-ad1b-42b3-bcfd-d7560496a669.jpeg
6a09b107-aba4-4ec2-9209-b9372e358b4e,2022-06-01 21:09:25+00:00,2022-06-01 21:11:00.761998+00:00,2022-09-06 22:47:52.881765+00:00,33.780091,-84.397064,35,TRUE,American Robin,Turdus migratorius,amerob,JUVENILE,UNKNOWN,DEAD,unknown,"Sorry I didn’t get too close, it made me sad",https://backend-static.dbird.org/uploads/952cd6db-9691-45fb-b0ae-5f75c26f3571.jpg
b9ef1bd3-7f59-4fe4-9970-a77acdd444ba,2022-06-14 19:26:50+00:00,2022-06-14 19:28:22.888251+00:00,2022-09-06 22:47:23.800353+00:00,33.780655,-84.403499,9.21,TRUE,Blue Jay,Cyanocitta cristata,blujay,JUVENILE,UNKNOWN,DEAD,unknown,,https://backend-static.dbird.org/uploads/8ffd0289-87e2-4260-bcbb-708b64b3bbe2.jpeg
